source,target,label,mt_system,lang
"Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.","N'ime nkeji ise n'ime ihe ngosi, ikuku malitere ịfegharị, ihe dị ka otu nkeji ka e mesịrị, ifufe na-eru 70km / h ... mgbe ahụ, mmiri ozuzo na-abịa, ma ọ siri ike ma buru ibu nke na ọ na-amanye akpụkpọ gị dị ka agịga, mgbe ahụ, mmiri ozuzo si na mbara igwe daa, ndị mmadụ na-atụ egwu ma na-eti mkpu ma na-efegharị ibe gị.",1,google,ibo
"Its long jaws were studded with more than 70 razor-sharp teeth, along with an extra set in the roof of its mouth, meaning that there was no escape for anything that crossed its path.","Agba ogologo ya bụ nke emejupụtara n'iji ihe karịrị eze dị aguba-nkọ iri asaa, yana òtú òtù mmezi n'elu ọnụ ya, nke pụtara na ọ nweghị ụzọ mgbapụ maka ihe ọ bụla gafere n'ụzọ ya.",0,human,ibo
"Its long jaws were studded with more than 70 razor-sharp teeth, along with an extra set in the roof of its mouth, meaning that there was no escape for anything that crossed its path.","E ji ihe karịrị ezé iri asaa dị nkọ kpụọ ogologo jaws ya, tinyere ezé ọzọ n'elu ọnụ ya, nke pụtara na ọ dịghị ihe ọ bụla ga-esi n'ebe ahụ gbapụ.",2,nllb,ibo
"Its long jaws were studded with more than 70 razor-sharp teeth, along with an extra set in the roof of its mouth, meaning that there was no escape for anything that crossed its path.","Its long jaws were studded with more than 70 razor-sharp teeth, along with an extra set in the roof of its mouth, meaning that there was no escape for anything that crossed its path.",5,gpt4_style,ibo
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.","Otu bọmbụ gbawara n'isi ụlọ ọrụ ndị uwe ojii n’ime Gaziantep, Tọkii ụtụtụ ụnyaahụ na-egbu ndị uwe ojii abụọ ma merụọ ahụ ihe karịrị ndị mmadụ ọzọ iri abụọ.",0,human,ibo
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.","Otu ogbunigwe ụgbọ ala gbara n'isi ụlọ ọrụ ndị uwe ojii dị na Gaziantep, Turkey n'ụtụtụ ụnyaahụ gburu ndị uwe ojii abụọ ma merụọ ihe karịrị mmadụ iri abụọ ọzọ ahụ.",1,google,ibo
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.","Ụgbọala bọmbụ gbawara n'isi ụlọ ọrụ ndị uweojii dị na Gaziantep, Turkey ụtụtụ ụnyaahụ gburu ndị uweojii abụọ ma merụọ ihe karịrị mmadụ iri abụọ ahụ.",2,nllb,ibo
"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.","A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and also injured more than twenty other people.",5,gpt4_style,ibo
Most of the life of the Hebrew family happened in the open air.,"Ọtụtụ ihe ezinụlọ ndị juu a mere, ọ bụ n'anya onye ọbụla ka ha mere ya.",0,human,ibo
Most of the life of the Hebrew family happened in the open air.,Ihe ka ọtụtụ ná ndụ ezinụlọ Hibru mere n’èzí.,1,google,ibo
Most of the life of the Hebrew family happened in the open air.,Ihe ka n'ọnụ ọgụgụ ná ndụ ezinụlọ Hibru ahụ mere n'èzí.,2,nllb,ibo
Most of the life of the Hebrew family happened in the open air.,Most of the life of the Hebrew family happened in the open air.,7,gemini_style,ibo
California Governor Arnold Schwarzenegger signed into law a bill that bans the sale or rental of violent video games to minors.,Gọvanọ California Arnold Schwarzenegger tiri iwu nke machibidoro iresi ụmụaka maọbụ ịgbazinye ha egwuregwu vidio ihe ike.,0,human,ibo
Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,Nzukọ omeiwu bidoro ikwado nnyocha ihe ndị dị aṅaa na fiskal n'afọ 2005 ma kwukwaa kpọmkwem na ngalaba FBI ga ewepụtarịrị ndị ozi iri maka ihe ngosi na-akpali agụụ mmekọrịta nwoke na nwanyị.,0,human,ibo
Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,Ụlọ Nzukọ Alaeze malitere ịkwado ihe omume rụrụ arụ ahụ n'afọ 2005 ma kwuo na FBI ga-enye ndị ọrụ 10 ka ha na-ekiri ndị gba ọtọ.,2,nllb,ibo
"An up-bow usually generates a softer sound, while a down-bow is stronger and more assertive.","Otu ụta-elu na -emepụtakarị ụda kara dị nro, ebe ụta-ala ka sie ike ma kara kwupụta.",0,human,ibo
"An up-bow usually generates a softer sound, while a down-bow is stronger and more assertive.","Ụgbọ elu na-abụkarị nke na-eme ka ụda dị nro karị, ebe ụgbọ ala na-adịkwu ike ma na-ekwusi ike.",2,nllb,ibo
"An up-bow usually generates a softer sound, while a down-bow is stronger and more assertive.","An up-bow usually generates a softer sound, while a down-bow is stronger and also more assertive.",5,gpt4_style,ibo
"When the fighting ceased after the wounded were transported to the hospital, about 40 of the other remaining inmates stayed in the yard and refused to return to their cells.","Oge ya bụ ọgụ gwụchara mgbe e wegara ndị merụrụ ahụ n'ụlọ ọgwụ, ihe dị ka ndị mkpọrọ 40 fọrọ afọ nọọrọ na mpụga, jụ ịlaghachi n'ime ụlọ mkpọrọ ha.",0,human,ibo
"When the fighting ceased after the wounded were transported to the hospital, about 40 of the other remaining inmates stayed in the yard and refused to return to their cells.","Mgbe agha ahụ kwụsịrị mgbe a kpọgara ndị ahụ e merụrụ ahụ n'ụlọ ọgwụ, ihe dị ka ndị mkpọrọ 40 fọdụrụnụ nọgidere n'ogige ma jụ ịlaghachi n'ọnụ ụlọ mkpọrọ ha.",2,nllb,ibo
"Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious.""","N'izuka gara aga, METI mara okwa sị na Apple gwara ya gbasara oke ekpomoku iri atọ na anọ merenụ, nke ụlọ ọrụ kpọrọ ""ihe na-abụghị ihe.""",0,human,ibo
"Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious.""","Last week, METI announced that Apple had informed it of 34 additional overheating incidents, which the company called ""non-serious."".",7,gemini_style,ibo
"Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.","N'ọsọ ya nke ọzọ, Giant Slalom, ọ gbachara dị ka onye nke iri n'otu ụmụ nwanyị nọ ọdụ ebe oge ọsọ ya niile bụ nkeji 4: 41.30, nke ji nkeji 2: 11.60 nọrọ n'azụ onye nke mbụ Claudia Loesch onye Austria ma jiri nkeji 1: 09.02 nọrọ n'azụ Gyöngyi Dani onye Hungary gbara onye nke itoolu.",0,human,ibo
"Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.","Her other race, the Giant Slalom, saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30, 2:11.60 minutes slower than first place finisher Austrian Claudia Loesch and 1:09.02 minutes slower than the ninth place finisher Gyöngyi Dani of Hungary.",7,gemini_style,ibo
Israel demands an ongoing military presence in the valley for ten years once an agreement is signed while the PA agrees to leave such presence only for five years.,"Israel na-achọ ka ndị agha nọrọ na ndagwụrụgwụ a ruo afọ iri ozigbo abanyere na nkwekọrịta, mana PA chọrọ ka ndị agha a nọrọ ruo naanị afọ ise.",0,human,ibo
Israel demands an ongoing military presence in the valley for ten years once an agreement is signed while the PA agrees to leave such presence only for five years.,Israel na-achọ ọnụnọ ndị agha na-aga n'ihu na ndagwurugwu ahụ afọ iri ozugbo e debanyere nkwekọrịta ebe PA kwetara ịhapụ ọnụnọ dị otú ahụ naanị afọ ise.,1,google,ibo
"While most of their food would be familiar to us, Romans did have their share of strange or unusual feast items, including wild boar, peacock, snails, and a type of rodent called a dormouse","Ka anyị maara nke ọma imirikiti nri ha, ndị Rom nwere oke ha na ihe erimeeri ijuanya ma ọ bụ pụrụ iche, gụnyere ezi ọhịa, piikọkụ, ejula, na ụdị oke akpọrọ dormouse.",0,human,ibo
"While most of their food would be familiar to us, Romans did have their share of strange or unusual feast items, including wild boar, peacock, snails, and a type of rodent called a dormouse","While most of their food would be familiar to us, Romans did have their share of strange or unusual feast items, including wild boar, peacock, snails, and also a type of rodent called a dormouse.",5,gpt4_style,ibo
"While most of their food would be familiar to us, Romans did have their share of strange or unusual feast items, including wild boar, peacock, snails, and a type of rodent called a dormouse","While most of their food would be familiar to us, Romans did have their share of strange or unusual feast items, including wild boar, peacock, snails, and a type of rodent called a dormouse.",7,gemini_style,ibo
"The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.","Ndị eboro ebubo bụ Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar na Vishnu Kanjar.",0,human,ibo
"The accused are named as Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar and Vishnu Kanjar.","Aha ndị a na-ebo ebubo bụ Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar na Vishnu Kanjar.",2,nllb,ibo
"Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.","N'ime mmadụ otu puku na iri anọ tụrụ ụtụ tupu ndọrọ ndọrọ ọchịchị gọọmenti etiti nke afọ 2010, ndị megidere mba Ọstrelia ịbụ obodo kwuuru onwe ya ji pasentị asatọ rịa elu kemgbe afọ 2008.",0,human,ibo
"Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.","Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.",7,gemini_style,ibo
Gosling and Stone received nominations for Best Actor and Actress respectively.,"E deturu aha Gosling na Stone n'otu ndị nwere ịnweta akara nturu ugo Best Aktọ na Best Aktres, n'otu n'otu.",0,human,ibo
Gosling and Stone received nominations for Best Actor and Actress respectively.,Gosling na Stone nwetara nhọpụta maka onye na-eme ihe nkiri kacha mma na onye na-eme ihe nkiri.,1,google,ibo
Gosling and Stone received nominations for Best Actor and Actress respectively.,Gosling and Stone received nominations for Best Actor and Actress respectively.,6,claude_style,ibo
"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.","Mbido mmepe Taịwan malitere n’oge gara aga nke narị afọ iri na ise mgbe ndị ọkwụ ụgbọ mmiri Ndị Yurop na-agafe dekọrọ aha agwaetiti ahụ dị ka Ilha Formosa, ma ọ bụ agwaetiti mara mma.",0,human,ibo
"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.","Taiwan malitere n'ihe dị ka narị afọ nke 15 mgbe ndị ọrụ ụgbọ mmiri Europe na-agafe aha agwaetiti ahụ dị ka Ilha Formosa, ma ọ bụ agwaetiti mara mma.",2,nllb,ibo
"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.","Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.",5,gpt4_style,ibo
"Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.","Taiwan beginning start way back in 15th century where European sailors passing by record the island’s name as Ilha Formosa, or beautiful island.",6,claude_style,ibo
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,Ndị uwe ojii Madhya Pradesh weghachitela nkùnụkwụ na ekwentị kengagharị ndị e zuru n'ohi.,0,human,ibo
The Madhya Pradesh Police recovered the stolen laptop and mobile phone.,Ndị uweojii Madhya Pradesh nwetara laptọọpụ na ekwentị e zuru ohi.,2,nllb,ibo
"This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.","Gburugburu ọhụrụ a nwere akụrụngwa dị iche ma ndị ịsọmpi dị iche, n'ihi nke a ọnụọgụgụ ọhụrụ ahụ kwesịrị inwe akụrụngwa dị iche maọbụ ihe mmegharị ọzọ ga eme ya ka ọbụrụ onye ịsọmpi dị ike karịa ka ọdịbu.",0,human,ibo
"This new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.","This new environment has different resources and also different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.",5,gpt4_style,ibo
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, ọkammụta nke ọgwụ na Mahadum Dalhousie nọ na Halifax, Nova Scotia na onye isi oche nke ngalaba ụlọ ọgwụ na sayensi ahụ nke Òtù Ọrịa Shuga ndị Kanada dọrọ aka na ntị na nnyocha ahụ ka nọ n’oge ndị mbụ ya.",0,human,ibo
"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, bụ́ prọfesọ nke nkà mmụta ọgwụ na Mahadum Dalhousie dị na Halifax, Nova Scotia na onyeisi oche nke ngalaba ahụike na nke sayensị nke Canadian Diabetes Association dọrọ aka ná ntị na nnyocha ahụ ka dị ná mmalite ya.",2,nllb,ibo
The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.,Ikike keetiti ahụ nke ụlọ uka anọọla n'ime Rom karịa otu puku afọ ma mkpọkọnata ike na ego a duru ọtụtụ ndị ịjụ sị ma a na-esokwa ụkpụrụ ya.,0,human,ibo
The central authority of the church had been in Rome for over a thousand years and this concentration of power and money led many to question whether this tenet was being met.,Ndị isi chọọchị ahụ anọwo na Rom ihe karịrị otu puku afọ na njupụta nke ike na ego a mere ka ọtụtụ ndị jụọ ma a na-emezu ụkpụrụ a.,1,google,ibo
"At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.","Na nguputa isi okwu ubochi Tozdee maka Ihe ngosi Egwuregwu Tokyo, onye isi Nintendo Satoru Iwata kpughere controller design ulo oru ya maka njikwa ohuru Nintendo Revolution.",0,human,ibo
"At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.","Na ngosipụta isi okwu Tọzdee nke Egwuregwu Egwuregwu Tokyo, onye isi oche Nintendo Satoru Iwata kpughere njikwa njikwa maka njikwa njikwa mgbanwe mgbanwe nke ụlọ ọrụ ahụ.",1,google,ibo
"At Thursday's keynote presentation of the Tokyo Game Show, Nintendo president Satoru Iwata unveiled the controller design for the company's new Nintendo Revolution console.","Na Thursday isi ngosi nke Tokyo Game Show, Nintendo president Satoru Iwata kpughere njikwa imewe maka ụlọ ọrụ ọhụrụ Nintendo Revolution console.",2,nllb,ibo
"However, the driver sustained serious injuries to the head.","N'agbanyeghị nke a, onye ọkwọ ụgbọ merụrụ ezigbo ahụ n'isi.",0,human,ibo
"he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.","ọgba ahụ n'onwe ya, nke lanarịrị oge ndị a, na-enye ezigbo ihe ngosi maka echiche gbasara ihe mmụọ nke Muhammad.",0,human,ibo
"he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.","ọgba ahụ n'onwe ya, nke lanahụrụ oge ahụ, na-enye echiche doro anya banyere ọchịchọ ime mmụọ nke Muhammad.",2,nllb,ibo
"he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.","he cave itself, which survived the times, gives a very vivid image of Muhammad’s spiritual inclinations.",5,gpt4_style,ibo
Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.,Ọzọkwa mgbe ụmụ aka ọrụ Mgbanwe ọchịchị ahụ mepechara maka ụmụ nwoke ọchọ ọrụ niile na-ekwe ka ndị kacha nwee oké ọchịchọ na ihe ịga nke ọma ka ha gaa nke ọma.,0,human,ibo
Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.,Ọzọkwa mgbe mgbanwe mgbanwe ọrụ bụ oghe nye ndị nwoke niile na-achọ akwụkwọ na-ekwe ka ndị kasị oké ọchịchọ na ihe ịga nke ọma ịga nke ọma.,1,google,ibo
Also after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.,"Ọzọkwa mgbe Mgbanwe ahụ gasịrị, e meghere ọrụ maka ụmụ nwoke niile na-achọ akwụkwọ, na-enye ohere ka ndị kachasị nwee ihe ịga nke ọma nwee ihe ịga nke ọma.",2,nllb,ibo
"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.","N’ihi nke ahụ, ụdị azụ abụọ ekpochapụla, ma abụọ ndị ọzọ abụrụla ndị nọ n’ihe ize ndụ, gụnyere humpback chub.",0,human,ibo
"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.","N'ihi ya, ụdị azụ̀ abụọ anwụọla, ma abụọ ndị ọzọ abanyela n'ihe ize ndụ, gụnyere chub humpback.",1,google,ibo
"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.","As a result, two fish species have become extinct, and also two others have become endangered, including the humpback chub.",5,gpt4_style,ibo
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","Ndị ohi ụgbọ mmiri zuri ya ohi, nkịta ara lụsoro ya ọgụ, o siri na-alụm di na nwunye gbalaga na Nepal a tụọ ya nga na India.",0,human,ibo
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and also was arrested in India.",5,gpt4_style,ibo
"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",7,gemini_style,ibo
They have cancelled the tour after lead singer Steven Tyler was injured after he fell off stage while performing on August 5.,Ha kagburu njem ngagharị ahụ mgbe onye isi ịgụ egwu Steven Tyler merụrụ ahụ mgbe ọ si n’ebedielu dapụ dị ka ọ na eme emume ngosi na Ọgọst 5.,0,human,ibo
"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.","Sedimenti a dị mkpa maka ịmepụta ụmụ mgbochi ejiri aja mee ma akụkụ osimiri, nke jere ozi dị ka ebe obibi anụ ọhịa.",0,human,ibo
"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.","Ihe ndị a dị mkpa iji mepụta ájá na osimiri, bụ́ ndị na-eje ozi dị ka ebe obibi nke anụ ọhịa.",2,nllb,ibo
"This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.","This sediment was necessary for creating sandbars and also beaches, which served as wildlife habitats.",5,gpt4_style,ibo
"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.","Ụlọ ọgwụ ahụ esorola ìwuùsòrò maka njikwa ọrịa ofufe, gụnyere iwepụta iche onye ọrịa ahụ site na ndị ọzọ iji gbochie mbufe ndị ọzọ ọrịa nwere ike ime.",0,human,ibo
"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.","Ụlọ ọgwụ ahụ agbasola ụkpụrụ maka njikwa ọrịa, gụnyere ikewapụ onye ọrịa na ndị ọzọ iji gbochie ọrịa ndị ọzọ nwere ike ibute.",1,google,ibo
"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.","Ụlọ ọgwụ ahụ anọwo na-agbaso usoro iwu maka ịchịkwa ọrịa ahụ, gụnyere ikewapụ onye ọrịa n'ebe ndị ọzọ nọ iji gbochie ọrịa ndị ọzọ nwere ike ibute.",2,nllb,ibo
"It is still produced today, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.","A ka na-emepụta ya taa, mana ihe ka mkpa bụ na ụdịdị sensọ foto nke igwefoto dijital eketala aspekt reshiyo ya.",0,human,ibo
"It is still produced today, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.","A ka na-emepụta ya taa, ma nke ka mkpa bụ na e ketara akụkụ ya site na igwefoto dijitalụ.",2,nllb,ibo
"It is still produced today, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.","It is still produced today,, but more importantly its aspect ratio has been inherited by digital camera image sensor formats.",5,gpt4_style,ibo
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,Ọ fọrọ obere ka mkpesa ahụ kwuo okwu ofụma gbasara akụkụ nile nke iwu ndị isi n'ebe mba Aịrak nọ ma ọ na-akwado mgbanwe ụzọ ozigbo ozigbo.,0,human,ibo
The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,Akụkọ ahụ na-akatọ ihe fọrọ nke nta ka ọ bụrụ akụkụ nile nke usoro iwu nke Executive ugbu a n'ebe Iraq dị ma na-agba ume ka a gbanwee ntụziaka ozugbo.,2,nllb,ibo
"Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships.","Briten tinyere ogbunigwe na mmiri ọha mba igbochi ụgbọ mmiri ọbụla ịbata, nke a abụrụ ihe ize ndụ nye ụgbọ mmiri ndị esoghi alụ agha.",0,human,ibo
"Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships.","Briten na-egwupụta mmiri nke mba ụwa iji gbochie ụgbọ mmiri ọ bụla ịbanye n'akụkụ nile nke oké osimiri, na-akpata ihe ize ndụ nye ọbụna ụgbọ mmiri na-anọpụ iche.",1,google,ibo
"Britain mined international waters to prevent any ships from entering entire sections of ocean, causing danger to even neutral ships.","Briten na-egwupụta ihe ndị dị n'oké osimiri mba dị iche iche iji gbochie ụgbọ mmiri ọ bụla ịbanye n'akụkụ nile nke oké osimiri, na-eme ka ọbụna ụgbọ mmiri ndị na-anọpụ iche nọrọ n'ihe ize ndụ.",2,nllb,ibo
"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.","Ọgwụ mgbochi ensefalitis dị nde kwuru nde ka gọọmenti kwere na nkwa, nke ga-akwado ndị ọrụ ahụike maka afọ na-abịa abịa.",0,human,ibo
"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.","Ọtụtụ nde karama ọgwụ mgbochi ọrịa ụbụrụ ka gọọmentị kwere nkwa, nke ga-enyere ndị ọrụ ahụike aka ịkwadebe maka afọ ọzọ.",2,nllb,ibo
"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.","Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.",6,claude_style,ibo
"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.","ASUS Eee PC, ewepụtara ụwa niile na mbụ maka ụmụ ihe nchekwa-ego na arụmọrụ ya, wụrụ isiokwu na-ewu ewu n’Ọnwa IT Taipei 2007.",0,human,ibo
"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.","ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.",6,claude_style,ibo
Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.,Xinhua kwuru na ndị nnyocha gọọmenti chọtara igwe 'igbe ojii' na-edokọ etu njem ụgbọelu si gaa na Wenezdee.,0,human,ibo
Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.,Xinhua reported that government investigators recovered two 'black box' flight recorders on Wednesday.,7,gemini_style,ibo
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.","Ndị isi obodo na-adọ ndị bi n'obodo gburugburu igwe ọrụ ahụ aka na ntị ka ha nọrọ n'ime ụlọ, gbanyụọ ntụ oyi ma ghara iṅu mmiri na-agba n'ụlọ.",0,human,ibo
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.","Ndị ọchịchị obodo ahụ na-adọ ndị bi n'akụkụ ụlọ ọrụ ahụ aka ná ntị ka ha nọrọ n'ime ụlọ, gbanyụọ ikuku na-ekpo ọkụ ma ghara ịṅụ mmiri pọmpụ.",2,nllb,ibo
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.","Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and also not to drink tap water.",5,gpt4_style,ibo
"Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.","Local authorities are warning residents in the vicinity of the plant to stay indoors, turn off air-conditioners and not to drink tap water.",6,claude_style,ibo
Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,"Michel Gọrli gbachara Super-G nkwụmọtọ ụmụ nwoke dịka onye nke iri na otu. Oldrich Jelinek, onye Chek rịpọblik gbara onye nke iri na isii na Super-G ọnụnọ ala ụmụ nwoke.",0,human,ibo
Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,Onye Australia bụ́ Mitchell Gourley mechara nke iri na otu n'asọmpi ndị ikom na-eguzo na Super-G. Onye asọmpi Czech bụ́ Oldrich Jelinek mechara nke iri na isii n'asọmpi ndị ikom na-eguzo na Super-G.,2,nllb,ibo
Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,Australia's Mitchell Gourley finished eleventh in the men's standing Super-G. Czech competitor Oldrich Jelinek finished sixteenth in the men's sitting Super-G.,7,gemini_style,ibo
"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman.""","Tọmi Drima sị na ""Luna bụ Eze nwaanyị ihe ngabiga oke nke mbụ. Onye nlekwa ọrụ m nke mbụ. Luna nwụrụ n'abalị ọnwa abụọ. Ọ pụrụ iche dị ka ya. Nwaanyị siri ike.""",0,human,ibo
"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman.""","Tommy Dreamer kwuru, sị, ""Luna bụ eze nwanyị mbụ nke Extreme, onye njikwa mbụ m. Luna nwụrụ n'abalị ọnwa abụọ.",2,nllb,ibo
"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman.""","Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman."".",5,gpt4_style,ibo
"Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman.""","Tommy Dreamer said ""Luna was the first Queen of Extreme. My first manager. Luna passed away on the night of two moons. Pretty unique just like her. Strong woman.""",6,claude_style,ibo
"After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.","Ka akara omume pụtara, Gingrich kelere Santorum, mana ọ gwara Rọmni okwu ike, n'ihi ụdịrị mkpọsa ozi ọ kpọsara megide Gringrich na Ayowa.",0,human,ibo
"After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.","Mgbe nsonaazụ ahụ bịara, Gingrich toro Santorum, ma kwuo okwu siri ike megide Romney, onye a na-akpọsa mgbasa ozi mkpọsa na-adịghị mma na Iowa megide Gingrich.",2,nllb,ibo
